trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_6.started,text_6.stopped,text.started,key_2.started,text.stopped,goodlooking.started,un.started,goodlooking.stopped,un.stopped,key_2.keys,key_2.rt,key_2.duration,text_2.started,key.started,un2.started,text_2.stopped,un2.stopped,goodlooking2.started,key.keys,key.rt,key.duration,text_3.started,key_.started,un3.started,text_3.stopped,un3.stopped,goodlooking3.started,key_.keys,key_.rt,key_.duration,text_4.started,key_3.started,un4.started,text_4.stopped,un4.stopped,goodlooking4.started,key_3.keys,key_3.rt,key_3.duration,text_5.started,key_4.started,un5.started,text_5.stopped,un5.stopped,goodlooking5.started,key_4.keys,key_4.rt,key_4.duration,text_7.started,key__2.started,goodlooking6.started,text_7.stopped,goodlooking6.stopped,un6.started,un6.stopped,key__2.keys,key__2.rt,key__2.duration,goodlooking2.stopped,goodlooking4.stopped,goodlooking5.stopped,goodlooking3.stopped,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,15.89742106,22.90061039,22.90061039,22.90061039,27.900121,27.900121,29.88560677,29.91204969,31.90055561,2,9.664539369,None,32.6750788,32.6750788,37.60026529,37.68383906,39.60030571,39.60030571,2,8.295007739,None,41.07469481,41.07469481,46.00173378,46.08511842,48.00203706,48.00203706,1,8.293776277,None,49.50524038,49.50524038,54.38635767,54.52527105,56.38567611,56.38567611,2,8.26501189,None,57.87293644,57.87293644,62.80303408,62.88741785,64.80349521,64.80349521,2,8.836200427,None,66.77248765,66.77248765,71.73756289,71.78754096,73.73750492,73.73750492,75.73750063,1,9.138677701,None,,,,,450487,1,2023-11-30_19h59.48.862,Impression mangement,2023.1.3,59.47942194
1,0,1,0,75.94112357,,82.95391465,82.95391465,87.95515989,87.92180941,89.92236425,89.92236425,91.92215583,1,9.359156745,None,92.40719909,92.40719909,97.33893218,97.42261886,99.33875398,99.33875398,2,9.469176988,None,101.9643228,101.9643228,106.8898804,106.9731117,108.8902607,108.9064766,2,8.732048761,None,110.8058994,110.8058994,115.7066262,115.8074833,117.7070715,117.7239172,2,9.352927789,None,120.2323349,120.2323349,125.1745398,125.2410387,127.1751204,127.1751204,1,9.363307951,None,129.6445488,129.6445488,134.6248658,134.6588596,136.6260687,136.6074687,,1,8.897716131,None,101.3392076,119.7240529,129.1748626,,450487,1,2023-11-30_19h59.48.862,Impression mangement,2023.1.3,59.47942194
2,0,2,0,138.565453,,145.5583844,145.5583844,150.5610205,150.5454433,152.5443509,152.5443509,154.544503,1,9.303613947,None,154.9396196,154.9396196,159.89358,159.9436582,161.893872,161.876886,2,8.300006213,None,163.3130568,163.3130568,168.2609042,168.3277115,170.2610571,170.2432649,1,10.82188173,None,174.2473915,174.2473915,179.1448506,179.2610917,181.1447785,181.1447785,2,8.499638748,None,182.8214596,182.8214596,187.7788786,187.8285439,189.7785886,189.762165,1,9.64266645,None,192.5167905,192.5167905,197.4953596,197.5316917,199.4963794,199.4963794,,1,8.572169101,None,,,191.7626484,172.2445416,450487,1,2023-11-30_19h59.48.862,Impression mangement,2023.1.3,59.47942194
3,0,3,0,201.1218728,,208.1293341,208.1293341,213.1303402,213.114404,215.1143948,215.1143948,217.1140072,1,12.10653322,None,220.3109707,220.3109707,225.2482786,225.3145671,227.2488024,227.2488024,2,9.602508658,None,229.9856726,229.9856726,234.9322873,234.9989748,236.9325523,236.9325523,2,9.69375927,None,239.7826864,239.7826864,244.6991075,244.7830143,246.6998156,246.6998156,2,9.338354507,None,249.1928667,249.1928667,254.1329182,254.2006462,256.133558,256.133558,1,8.791068662,None,258.0214966,258.0214966,263.0007993,263.0338957,265.0007355,265.0007355,267.0007912,1,9.712004972,None,229.248478,248.7000485,,238.9314162,450487,1,2023-11-30_19h59.48.862,Impression mangement,2023.1.3,59.47942194
4,0,4,0,267.7551706,,274.7688682,274.7688682,279.7693984,279.7353276,281.7349348,281.7349348,283.7355909,1,9.168535659,None,284.0145653,284.0145653,288.9524602,289.0193722,290.9529607,290.9529607,2,9.13620781,None,293.2242191,293.2242191,298.1697178,298.2357391,300.1698798,300.1698798,1,7.931434736,None,301.2668498,301.2668498,306.187326,306.270768,308.1875929,308.1875929,2,10.07437648,None,311.4131655,311.4131655,316.3538616,316.4208597,318.3548923,318.3548923,1,9.899035469,None,321.3549672,321.3549672,326.321305,326.355098,328.3219173,328.3219173,330.3218066,1,9.407755034,None,292.953077,310.1870669,320.3548614,,450487,1,2023-11-30_19h59.48.862,Impression mangement,2023.1.3,59.47942194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,